subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P103_Exp3,18,F,1,1,1,1,1,5,2,3958.41147576084,530,0,3140,407,0,303,257,11,4,1188,246,0,0,0,0,26,High
P103_Exp3,18,F,1,1,2,3,3,7,1,4749.56812253777,846,0,3077,257,0,486,287,13,2,1425,253,84,0,84,0,26,High
P103_Exp3,18,F,1,1,3,4,4,8,2,3287.53998432148,150,59,2922,427,0,213,267,6,4,987,249,0,0,0,0,26,High
P103_Exp3,18,F,1,1,4,2,2,6,2,3461.079411421,517,0,2609,356,0,360,206,12,4,1039,246,0,0,0,0,26,High
P103_Exp3,18,F,1,2,5,1,1,5,2,4620.03205084693,527,0,3522,544,0,203,227,15,3,1386,248,0,0,0,0,26,High
P103_Exp3,18,F,1,2,6,4,4,8,1,2069.02191187601,186,0,1714,469,0,310,257,5,3,620,253,0,0,0,0,26,High
P103_Exp3,18,F,1,2,7,3,3,7,1,2265.76333869752,367,0,1679,464,0,304,263,6,3,680,250,0,0,0,0,26,High
P103_Exp3,18,F,1,2,8,2,2,6,2,2744.07498533765,342,0,2197,333,0,327,243,10,3,823,246,0,0,0,0,26,High
P103_Exp3,18,F,1,3,9,3,3,7,2,5402.77029431672,557,0,4345,544,0,217,216,13,3,1621,248,37,0,36,0,26,High
P103_Exp3,18,F,1,3,10,2,2,6,1,2034.29754523359,287,0,1554,580,0,190,254,7,3,611,253,0,0,0,0,26,High
P103_Exp3,18,F,1,3,11,4,4,8,1,2232.33694380815,230,0,1749,765,0,0,NA,7,3,670,254,0,0,0,0,26,High
P103_Exp3,18,F,1,3,12,1,1,5,2,4087.2994671372,259,167,3360,350,0,134,283,14,4,1226,248,0,0,0,0,26,High
P103_Exp3,18,F,1,4,13,3,3,7,1,1124.84496029265,0,0,780,796,0,0,NA,4,2,338,251,0,0,0,0,26,High
P103_Exp3,18,F,1,4,14,2,2,6,2,4207.70868442696,454,0,3112,817,0,0,NA,12,1,1263,246,57,0,41,0,26,High
P103_Exp3,18,F,1,4,15,4,4,8,1,1240.37048339778,194,0,907,773,0,0,NA,4,2,372,251,0,0,0,0,26,High
P103_Exp3,18,F,1,4,16,1,1,5,1,1934.53241774978,280,0,1446,736,0,0,NA,7,2,580,253,0,0,0,0,26,High
P103_Exp3,18,F,1,5,17,4,4,8,1,1593.93044259923,197,0,1026,773,0,0,NA,7,2,479,250,0,0,0,0,26,High
P103_Exp3,18,F,1,5,18,1,1,5,1,3851.07464514795,529,204,3056,484,0,0,NA,12,3,1155,253,0,17,0,0,26,High
P103_Exp3,18,F,1,5,19,3,3,7,1,1537.1490080629,150,0,1262,790,0,0,NA,4,2,461,252,0,0,0,0,26,High
P103_Exp3,18,F,1,5,20,2,2,6,1,2147.23527488786,227,0,1689,763,0,0,NA,8,1,644,250,0,0,0,0,26,High
P103_Exp3,18,F,1,6,21,1,1,5,1,1539.57591338713,197,580,1150,187,0,0,NA,7,3,461,252,0,0,0,0,26,High
P103_Exp3,18,F,1,6,22,3,3,7,1,1509.62446054928,260,183,1161,596,0,0,NA,4,2,453,250,0,0,0,0,26,High
