Experiment,subj,ICU_medSplit,ICU,phase_1,phase_2,phase_3
Exp7,P1823_Exp7,Low,18,168.8125,276.14285714285717,64.22727272727273
Exp7,P1829_Exp7,High,29,250.5,166.33333333333334,50.708333333333336
Exp7,P1873_Exp7,High,29,358.3333333333333,379.8,376.6
Exp7,P1880_Exp7,Low,17,289.27272727272725,301.47058823529414,200.55555555555554
Exp7,P1887_Exp7,Low,11,239.04166666666666,208.23809523809524,212.56521739130434
Exp7,P1888_Exp7,Low,10,237.30434782608697,218.9,211.1904761904762
Exp7,P1894_Exp7,High,24,271.3478260869565,282.8888888888889,346.1111111111111
Exp7,P1901_Exp7,Low,16,298.26666666666665,400.1111111111111,361.7142857142857
Exp7,P1918_Exp7,Low,22,211.5,127.22727272727273,84.45454545454545
Exp7,P1939_Exp7,Low,15,252.5,316.42857142857144,257.45454545454544
Exp7,P1941_Exp7,High,27,249.55555555555554,225.53846153846155,254.25
Exp7,P1947_Exp7,High,26,303.09090909090907,294.59090909090907,279.6666666666667
Exp7,P1971_Exp7,High,25,311.1333333333333,408.25,532.1666666666666
Exp7,P1974_Exp7,High,32,293.60869565217394,350.75,212.2608695652174
Exp7,P2005_Exp7,High,30,269.4117647058824,322.9166666666667,373.75
