Experiment,subj,condition,age,sex,phase,epoch,block,trial,cue,resp,out,numResp,RT,ICU,ICU_Exp_medSplit,AOI_out_p2,AOI_out_p2_1s,tOutFix,tOutFix_1s
Exp3,P103_Exp3,NA,18,F,1,3,6,22,3,3,7,1,1509.62446054928,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,6,23,4,4,8,1,795.016754400422,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,6,24,2,2,6,1,811.101944814254,26,High,386,NA,447,NA
Exp3,P103_Exp3,NA,18,F,2,4,7,25,5,1,9,4,3973.36139367189,26,High,220,NA,264,NA
Exp3,P103_Exp3,NA,18,F,2,4,7,26,7,3,11,1,1639.45302866614,26,High,167,NA,240,NA
Exp3,P103_Exp3,NA,18,F,2,4,7,27,8,4,12,1,1877.21248253183,26,High,403,NA,277,NA
Exp3,P103_Exp3,NA,18,F,2,4,7,28,6,2,10,1,819.060926492057,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,4,8,29,8,4,12,1,2334.56882132987,26,High,217,NA,203,NA
Exp3,P103_Exp3,NA,18,F,2,4,8,30,6,2,10,1,4482.52431961373,26,High,520,NA,240,NA
Exp3,P103_Exp3,NA,18,F,2,4,8,31,5,1,9,1,1005.15566454487,26,High,203,NA,253,NA
Exp3,P103_Exp3,NA,18,F,2,4,8,32,7,3,11,1,822.667476842526,26,High,352,NA,257,NA
Exp3,P103_Exp3,NA,18,F,2,5,9,33,8,4,12,1,2105.76296439876,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,9,34,6,2,10,1,1175.08974870952,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,9,35,5,1,9,1,695.786813874747,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,9,36,7,3,11,1,380.917279656387,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,10,37,8,4,12,1,2987.83408057261,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,10,38,7,3,11,2,4683.81317537887,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,10,39,5,1,9,1,1047.36721522568,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,5,10,40,6,2,10,1,303.4802848656,26,High,217,NA,467,NA
Exp3,P103_Exp3,NA,18,F,2,6,11,41,7,3,11,3,6588.33920288225,26,High,210,NA,380,NA
Exp3,P103_Exp3,NA,18,F,2,6,11,42,8,4,12,1,1077.3307422196,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,6,11,43,5,1,9,1,1107.14485153449,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,6,11,44,6,2,10,1,2030.65115016898,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,6,12,45,5,1,9,1,1406.71160063766,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,2,6,12,46,7,3,11,1,2455.13319152269,26,High,220,NA,256,NA
Exp3,P103_Exp3,NA,18,F,2,6,12,47,8,4,12,1,1726.36582096266,26,High,0,NA,NA,NA
